Date,Open,High,Low,Close,Volume
11/15/2010,1500.25,1535,1485.05,1521.7,646911
11/16/2010,1533.75,1533.95,1445,1469.15,1447541
11/18/2010,1499,1499,1389,1426,5100637
11/19/2010,1431.15,1431.15,1370.05,1384.7,2683260
11/22/2010,1400,1453.8,1370,1430.6,2764172
11/23/2010,1421,1427,1380.3,1421.7,1414827
11/24/2010,1428,1430.95,1370,1384.8,986465
11/25/2010,1385.2,1395.7,1336.1,1342.9,2293068
11/26/2010,1341,1367.25,1297,1330.9,1470206
11/29/2010,1348.95,1349,1321,1329.1,1094087
11/30/2010,1329,1389.8,1315.2,1366.85,1306098
12/1/2010,1370.05,1428.9,1370,1424.45,1101487
12/2/2010,1441,1461,1423.15,1455.35,1329574
12/3/2010,1455.35,1455.35,1388.85,1406.15,1603168
12/6/2010,1424.7,1424.7,1376,1382.45,937766
12/7/2010,1385,1385.05,1307.5,1324.5,2431914
12/8/2010,1319,1319,1243.3,1251.5,4293576
12/9/2010,1262.4,1299,1229.7,1245.75,3133521
12/10/2010,1253,1330,1248,1323.55,2103044
12/13/2010,1340,1355,1293.1,1320.65,1774092
12/14/2010,1333.8,1334.9,1285.2,1303.35,2513689
12/15/2010,1300,1321,1280.05,1297.6,1995674
12/16/2010,1304.65,1319.7,1285.1,1309.35,1938887
12/20/2010,1310,1310,1266.85,1270.9,1471260
12/21/2010,1280.9,1323.9,1280,1318.35,1862798
12/22/2010,1328,1329.5,1304.2,1311.65,1171119
12/23/2010,1322.8,1322.8,1309.65,1314.1,566107
12/24/2010,1300,1324.8,1300,1322,518834
12/27/2010,1329.4,1330,1310.1,1316.6,415449
12/28/2010,1321.9,1321.9,1286.55,1288.9,714182
12/29/2010,1290.55,1315,1290.55,1312.4,788582
12/30/2010,1320,1338.7,1305.1,1333.8,1410092
12/31/2010,1336.75,1358,1331.9,1350.1,902611
1/3/2011,1365,1372,1342.3,1367.65,1053220
1/4/2011,1372.9,1376.6,1343.5,1347.95,1383815
1/5/2011,1351,1351,1303,1310.9,1749878
1/6/2011,1316.35,1322.1,1300,1305.85,793434
1/7/2011,1300.35,1300.35,1263.9,1280.65,2409583
1/10/2011,1285,1305,1246.3,1254.6,1614057
1/11/2011,1260.1,1325.5,1260,1300.2,2508622
1/12/2011,1305.95,1322.85,1290,1313.35,2592040
1/13/2011,1308.5,1327.6,1261.1,1265.45,1144848
1/14/2011,1269.8,1277,1195,1201.6,2692770
1/17/2011,1212,1240,1200.1,1229,2063871
1/18/2011,1230.15,1297.95,1230.15,1278.25,2940254
1/19/2011,1280,1297,1268,1280.1,1591785
1/20/2011,1274,1333.45,1255,1285.1,2582837
1/21/2011,1275,1293.65,1266,1287.05,2037127
1/24/2011,1289,1344.75,1289,1325.75,3262159
1/25/2011,1328,1344,1293.75,1297.2,2648349
1/27/2011,1314,1326,1287,1298.95,2875539
1/28/2011,1300,1304.4,1243.45,1253.5,2604734
1/31/2011,1232.05,1262.8,1228.65,1242.2,1944281
2/1/2011,1253.65,1257.65,1234,1242.65,1620065
2/2/2011,1255,1257,1216.05,1225.05,1709919
2/3/2011,1218,1263.4,1218,1256.35,983587
2/4/2011,1245.35,1268.3,1212.2,1222.6,1810354
2/7/2011,1242.4,1242.4,1215.25,1228.55,982536
2/8/2011,1225.1,1234,1182.1,1190.7,1266946
2/9/2011,1185,1195.05,1150,1160.65,1759397
2/10/2011,1156.1,1194.8,1150,1165.55,1883525
