Date,Open,High,Low,Close,Volume
2010-12-08,3159,3164.1,3114,3131.15,868889
2010-12-09,3145,3182.1,3141.15,3151.45,991391
2010-12-10,3145,3162,3117.8,3144.25,765640
2010-12-13,3149,3156.4,3075,3145.3,856135
2010-12-14,3163.7,3174,3126.8,3158.65,491698
2010-12-15,3146.7,3209,3146.7,3203.45,1031799
2010-12-16,3219.4,3300,3210,3293.3,1063643
2010-12-20,3252.1,3363.8,3252,3349.95,1418290
2010-12-21,3350.55,3369.6,3311.05,3329.25,1007480
2010-12-22,3325,3359.7,3313.75,3332.5,740910
2010-12-23,3344,3372,3329.25,3367.9,778938
2010-12-24,3347,3381.8,3342.05,3370.15,452508
2010-12-27,3357,3391.8,3357,3376.9,461470
2010-12-28,3371,3389.95,3363.5,3382.65,319305
2010-12-29,3381,3415,3371.1,3404.9,475365
2010-12-30,3410,3454,3402,3446.95,1123961
2010-12-31,3433,3451,3405.15,3442.75,732466
2011-01-03,3444,3469.7,3427.7,3458.35,631068
2011-01-04,3457,3499,3457,3481.45,1014911
2011-01-05,3465,3477,3445.1,3459.6,440395
2011-01-06,3480,3493,3444.1,3478.15,586480
2011-01-07,3463.35,3495,3356.35,3370.75,1068866
2011-01-10,3375,3443.15,3352,3395.75,1298801
2011-01-11,3340,3423.4,3288.1,3325.7,1539927
2011-01-12,3350,3390,3318.2,3377.3,1254425
2011-01-13,3293,3299,3195,3205.2,2794109
2011-01-14,3186.15,3277.9,3185,3204.3,1290205
2011-01-17,3200,3281.7,3191.25,3268.8,1027327
2011-01-18,3250,3335.7,3250,3323,1224646
2011-01-19,3307.15,3314,3235.8,3249.6,866886
2011-01-20,3232,3307.4,3218.1,3295.9,903981
2011-01-21,3271,3278,3231,3243.85,578353
2011-01-24,3240,3290,3227.3,3284.65,937670
2011-01-25,3265,3304.85,3236.05,3259.65,1240739
2011-01-27,3269,3269,3185.5,3196.9,1588831
2011-01-28,3205.8,3268.55,3140.65,3168.15,1585537
2011-01-31,3138.5,3138.5,3086.2,3117.7,968671
2011-02-01,3126.3,3128.4,3043.1,3089.2,1287711
2011-02-02,3113,3164,3065,3089.25,1146841
2011-02-03,3101.4,3153,3086.2,3117.6,756176
2011-02-04,3099,3123.7,3026.4,3047.9,869985
2011-02-07,3074.9,3113.9,3061,3087.45,917641
2011-02-08,3100,3120,3072,3096.6,752999
2011-02-09,3085,3159.7,3067.9,3130.7,938018
2011-02-10,3105.65,3114,3041,3053.2,1031519
2011-02-11,3030.2,3068.7,3020.35,3040.85,1401769
2011-02-14,3044,3118.3,3040.5,3104.55,872381
2011-02-15,3100,3129,3074.15,3106.55,574994
2011-02-16,3082.25,3123.7,3081.1,3103,365048
2011-02-17,3118.5,3128,3102.2,3113.35,424123
2011-02-18,3125,3145,3089.1,3100.3,887788
2011-02-21,3100,3177.8,3076,3165.25,1174869
2011-02-22,3140.2,3167,3114,3141.85,760706
2011-02-23,3105.9,3105.9,3070.05,3078.8,884548
2011-02-24,3050,3080,2995,3008.8,2060815
2011-02-25,3023.2,3042.65,2966,3007.3,1295840
2011-02-28,3022,3134.8,2967.4,2997.1,1814309
2011-03-01,3030,3108,3008,3082.4,1047204
2011-03-03,3058.1,3059,3001,3026.1,1571482
2011-03-04,3067,3090,3048,3062.2,1221364
2011-03-07,3036,3075,3025.5,3042.7,919716
2011-03-08,3030.25,3132,3020.2,3116.3,1064314
2011-03-09,3120,3132.8,3071,3095.5,834555
2011-03-10,3095,3100,3062.5,3090.25,429775
2011-03-11,3068,3079,3045,3053.9,909784
2011-03-14,3035,3108,3030.65,3100.8,444744
2011-03-15,3032,3058.9,3006,3030.15,1129728
2011-03-16,3025,3061.45,3020.05,3030.9,699340
2011-03-17,2984.1,2999,2971,2978.7,1040172
2011-03-18,2980.15,2994.8,2932.6,2941.1,933500
2011-03-21,2951.4,2957,2904.35,2922.3,825887
2011-03-22,2935.15,2956.75,2924,2943.05,639968
2011-03-23,2934.75,2998.8,2927,2993.35,908340
2011-03-24,2992.95,3012.2,2978.75,3002.8,1023654
2011-03-25,3044,3185,3040.05,3163.05,1582849
2011-03-28,3139,3157.55,3109.75,3139.55,1507079
2011-03-29,3132,3188.7,3128.95,3173.35,1232574
2011-03-30,3172,3203.5,3156.65,3170.9,701016
2011-03-31,3182,3265,3163.9,3241.3,2354991
2011-04-01,3235.1,3256.25,3208,3218.15,698536
2011-04-04,3225,3296,3221,3283.15,921999
2011-04-05,3276.95,3293,3231.1,3283.25,537817
